t,x,ts
3.2140176,0.02,0.83613676
3.22403,0.02,0.84285885
3.2340426,0.02,0.8492598
3.244055,0.02,0.855328
3.2540677,0.02,0.86106175
3.26408,0.02,0.8664544
3.2740927,0.02,0.87150544
3.2841053,0.02,0.8762155
3.294118,0.02,0.8805824
3.3041303,0.02,0.884612
3.314143,0.02,0.8883088
3.3241553,0.02,0.891679
3.334168,0.02,0.89472896
3.3441803,0.02,0.8974715
3.354193,0.02,0.89991564
3.3642054,0.02,0.90207356
3.374218,0.02,0.90396124
3.3842304,0.02,0.90559095
3.394243,0.02,0.90698284
3.4042554,0.02,0.90815264
3.414268,0.02,0.90911895
3.4242804,0.02,0.90990156
3.434293,0.02,0.91052026
3.4443054,0.02,0.9109991
3.454318,0.02,0.911359
3.4643304,0.02,0.91162306
3.474343,0.02,0.9118125
3.4843554,0.02,0.9119554
3.494368,0.02,0.91207176
3.5043805,0.02,0.91218597
3.514393,0.02,0.9123216
3.5244055,0.02,0.9125057
3.534418,0.02,0.9127582
3.5444305,0.02,0.91310424
3.5544431,0.02,0.9135652
3.5644555,0.02,0.9141609
3.5744681,0.02,0.91491526
3.5844805,0.02,0.9158475
3.5944932,0.02,0.91697246
3.6045058,0.02,0.91831404
3.6145184,0.02,0.91988176
3.6245308,0.02,0.9216952
3.6345434,0.02,0.9237607
3.6445558,0.02,0.9260977
3.6545684,0.02,0.9287078
3.6645808,0.02,0.93160206
3.6745934,0.02,0.93478745
3.6846058,0.02,0.93826836
3.6946185,0.02,0.9420423
3.7046309,0.02,0.946114
3.7146435,0.02,0.9504791
3.7246559,0.02,0.955136
3.7346685,0.02,0.96007735
3.744681,0.02,0.96529824
3.7546935,0.02,0.97078997
3.764706,0.02,0.9765397
3.7747185,0.02,0.98253983
3.784731,0.02,0.98877174
3.7947435,0.02,0.9952213
3.804756,0.02,1.001878
3.8147686,0.02,1.0087156
3.824781,0.02,1.0157194
3.8347936,0.02,1.022872
3.8448062,0.02,1.0301483
3.8548188,0.02,1.03753
3.8648312,0.02,1.0449924
3.8748438,0.02,1.0525115
3.8848562,0.02,1.0600638
3.8948689,0.02,1.0676291
3.9048812,0.02,1.075176
3.9148939,0.02,1.0826857
3.9249063,0.02,1.0901268
3.9349189,0.02,1.0974765
3.9449313,0.02,1.1047122
3.954944,0.02,1.1118064
3.9649563,0.02,1.118733
3.974969,0.02,1.1254671
3.9849813,0.02,1.1319845
3.994994,0.02,1.1382611
4.005006,0.02,1.144274
4.0150185,0.02,1.1499995
4.025031,0.02,1.155411
4.0350432,0.02,1.1604931
4.045056,0.02,1.1652193
4.0550685,0.02,1.1695683
4.065081,0.02,1.1735271
4.0750933,0.02,1.1770713
4.0851064,0.02,1.1801827
4.095119,0.02,1.1828446
4.1051316,0.02,1.1850431
4.115144,0.02,1.1867647
4.1251564,0.02,1.1879933
4.135169,0.02,1.1887152
4.1451817,0.02,1.1889234
4.155194,0.02,1.1886072
4.1652064,0.02,1.1877565
4.175219,0.02,1.1863654
4.1852317,0.02,1.1844287
4.195244,0.02,1.1819422
4.2052565,0.02,1.1789067
4.215269,0.02,1.175319
4.2252817,0.02,1.1711831
4.235294,0.02,1.1664989
4.2453065,0.02,1.1612766
4.255319,0.02,1.1555192
4.2653317,0.02,1.1492428
4.275344,0.02,1.142451
4.2853565,0.02,1.1351657
4.295369,0.02,1.1273949
4.305382,0.02,1.1191661
4.315394,0.02,1.1104934
4.325407,0.02,1.1014023
4.3354197,0.02,1.0919216
4.3454323,0.02,1.0820749
4.3554444,0.02,1.071895
4.365457,0.02,1.0614169
4.3754697,0.02,1.0506701
4.3854823,0.02,1.0396967
4.3954945,0.02,1.0285335
4.405507,0.02,1.0172219
4.4155197,0.02,1.0058075
4.4255323,0.02,0.99433273
4.4355445,0.02,0.98284274
4.445557,0.02,0.9713851
4.4555697,0.02,0.96001095
4.4655824,0.02,0.94876575
4.4755945,0.02,0.93770283
4.485607,0.02,0.9268688
4.49562,0.02,0.91631186
4.5056324,0.02,0.9060807
4.5156446,0.02,0.8962242
4.525657,0.02,0.8867903
4.53567,0.02,0.8778184
4.5456824,0.02,0.8693563
4.5556946,0.02,0.86144507
4.565707,0.02,0.8541198
4.57572,0.02,0.8474181
4.5857325,0.02,0.84137005
4.5957446,0.02,0.83600605
4.605757,0.02,0.8313535
4.61577,0.02,0.8274306
4.6257825,0.02,0.8242579
4.6357946,0.02,0.8218469
4.6458073,0.02,0.82021016
4.65582,0.02,0.81935304
4.6658325,0.02,0.8192788
4.6758447,0.02,0.81997865
4.6858573,0.02,0.8214554
4.69587,0.02,0.8236934
4.7058825,0.02,0.8266809
4.7158947,0.02,0.8303996
4.7259073,0.02,0.8348305
4.73592,0.02,0.8399455
4.7459326,0.02,0.8457237
4.7559447,0.02,0.8521284
4.7659574,0.02,0.85913366
4.77597,0.02,0.86669964
4.7859826,0.02,0.8747976
4.7959948,0.02,0.88338065
4.8060074,0.02,0.89241517
4.81602,0.02,0.9018611
4.8260326,0.02,0.91167706
4.836045,0.02,0.9218181
4.8460574,0.02,0.9322503
4.85607,0.02,0.9429268
4.8660827,0.02,0.9538081
4.876095,0.02,0.964855
4.8861074,0.02,0.97602683
4.89612,0.02,0.9872874
4.9061327,0.02,0.99859744
4.916145,0.02,1.0099239
4.9261575,0.02,1.0212342
4.93617,0.02,1.0324926
4.9461827,0.02,1.043673
4.956195,0.02,1.0547438
4.9662075,0.02,1.0656791
4.97622,0.02,1.076458
4.9862328,0.02,1.0870559
4.996245,0.02,1.0974529
5.0062575,0.02,1.1076307
5.01627,0.02,1.117574
5.026283,0.02,1.1272693
5.036295,0.02,1.1367023
5.0463076,0.02,1.1458662
5.05632,0.02,1.1547489
5.066333,0.02,1.1633446
5.076345,0.02,1.1716485
5.0863576,0.02,1.1796558
5.09637,0.02,1.1873634
5.106383,0.02,1.1947713
5.116395,0.02,1.2018771
5.1264076,0.02,1.2086837
5.1364202,0.02,1.2151899
5.146433,0.02,1.221399
5.156445,0.02,1.227314
5.1664577,0.02,1.2329367
5.1764703,0.02,1.238273
5.186483,0.02,1.243325
5.196495,0.02,1.2480974
5.206508,0.02,1.2525959
5.216521,0.02,1.2568247
5.2265334,0.02,1.2607872
5.2365456,0.02,1.2644886
5.246558,0.02,1.2679346
5.256571,0.02,1.2711287
5.2665834,0.02,1.2740755
5.2765956,0.02,1.2767799
5.286608,0.02,1.2792454
5.296621,0.02,1.2814753
5.3066335,0.02,1.2834733
5.3166456,0.02,1.2852435
5.3266582,0.02,1.2867908
5.336671,0.02,1.2881149
5.3466835,0.02,1.2892203
5.3566957,0.02,1.2901095
5.3667083,0.02,1.2907841
5.376721,0.02,1.2912481
5.3867335,0.02,1.2915013
5.3967457,0.02,1.2915468
5.4067583,0.02,1.2913858
5.416771,0.02,1.2910197
5.4267836,0.02,1.2904501
5.4367957,0.02,1.2896787
5.446809,0.02,1.2887073
5.4568214,0.02,1.287535
5.466834,0.02,1.2861654
5.476846,0.02,1.2845976
5.486859,0.02,1.2828343
5.4968715,0.02,1.2808754
5.506884,0.02,1.2787237
5.5168962,0.02,1.2763793
5.526909,0.02,1.2738447
5.5369215,0.02,1.2711191
5.546934,0.02,1.2682066
5.5569463,0.02,1.2651064
5.566959,0.02,1.2618217
5.5769715,0.02,1.2583551
5.586984,0.02,1.2547058
5.5969963,0.02,1.2508788
5.607009,0.02,1.2468762
5.6170216,0.02,1.2426991
5.627034,0.02,1.2383502
5.6370463,0.02,1.2338331
5.647059,0.02,1.22915
5.6570716,0.02,1.2243044
5.667084,0.02,1.2192999
5.6770964,0.02,1.214138
5.687109,0.02,1.2088249
5.6971216,0.02,1.2033622
5.7071342,0.02,1.1977551
5.7171464,0.02,1.1920079
5.727159,0.02,1.1861227
5.7371716,0.02,1.180105
5.7471843,0.02,1.1739595
5.7571964,0.02,1.1676908
5.767209,0.02,1.1613021
5.7772217,0.02,1.1548002
5.7872343,0.02,1.1481884
5.7972465,0.02,1.1414726
5.807259,0.02,1.1346562
5.8172717,0.02,1.1277463
5.8272843,0.02,1.1207459
5.8372965,0.02,1.1136609
5.847309,0.02,1.1064975
5.8573217,0.02,1.0992602
5.8673344,0.02,1.0919528
5.8773465,0.02,1.0845828
5.887359,0.02,1.0771542
5.897372,0.02,1.0696719
5.9073844,0.02,1.0621411
5.9173965,0.02,1.0545679
5.927409,0.02,1.0469571
5.937422,0.02,1.0393121
5.9474344,0.02,1.0316396
5.9574466,0.02,1.0239435
5.967459,0.02,1.0162297
5.977472,0.02,1.0085034
5.9874845,0.02,1.0007678
5.9974966,0.02,0.9930285
6.007509,0.02,0.98528826
6.017522,0.02,0.9775536
6.0275345,0.02,0.9698285
6.0375466,0.02,0.96211725
6.0475593,0.02,0.9544221
6.057572,0.02,0.94674873
6.0675845,0.02,0.9391004
6.0775967,0.02,0.9314821
6.0876093,0.02,0.92389554
6.097622,0.02,0.91634715
6.1076345,0.02,0.9088363
6.1176467,0.02,0.90136886
6.1276593,0.02,0.89394796
6.137672,0.02,0.8865758
6.1476846,0.02,0.8792562
6.1576967,0.02,0.87199175
6.1677094,0.02,0.8647853
6.177722,0.02,0.8576367
6.1877346,0.02,0.8505516
6.1977468,0.02,0.84353244
6.2077594,0.02,0.83657986
6.217772,0.02,0.8296952
6.2277846,0.02,0.82288325
6.237797,0.02,0.81614304
6.24781,0.02,0.8094791
6.2578225,0.02,0.8028906
6.267835,0.02,0.7963805
6.2778473,0.02,0.7899493
6.28786,0.02,0.7835984
6.2978725,0.02,0.7773309
6.307885,0.02,0.77114606
6.3178973,0.02,0.76504695
6.32791,0.02,0.7590314
6.3379226,0.02,0.753103
6.347935,0.02,0.74726176
6.3579473,0.02,0.74150974
6.36796,0.02,0.73584414
6.3779726,0.02,0.7302679
6.387985,0.02,0.7247824
6.3979974,0.02,0.7193874
6.40801,0.02,0.71408343
6.4180226,0.02,0.7088691
6.4280353,0.02,0.7037466
6.4380474,0.02,0.6987169
6.44806,0.02,0.6937788
6.4580727,0.02,0.68893206
6.4680853,0.02,0.68417704
6.4780974,0.02,0.6795145
6.48811,0.02,0.67494524
6.4981227,0.02,0.67046726
6.5081353,0.02,0.6660801
6.5181475,0.02,0.6617865
6.52816,0.02,0.6575849
6.5381727,0.02,0.6534742
6.5481853,0.02,0.6494547
6.5581975,0.02,0.64552796
6.56821,0.02,0.64169204
6.5782228,0.02,0.6379451
6.5882354,0.02,0.63428974
6.5982475,0.02,0.6307256
6.60826,0.02,0.62725013
6.618273,0.02,0.62386465
6.6282854,0.02,0.62056917
6.6382976,0.02,0.6173607
6.6483107,0.02,0.61424065
6.6583233,0.02,0.61120975
6.668336,0.02,0.60826516
6.678348,0.02,0.60540825
6.6883607,0.02,0.6026384
6.6983733,0.02,0.5999537
6.708386,0.02,0.5973561
6.718398,0.02,0.5948411
6.7284107,0.02,0.59241253
6.7384233,0.02,0.5900685
6.748436,0.02,0.5878078
6.758448,0.02,0.5856298
6.7684608,0.02,0.58353484
6.7784734,0.02,0.5815235
6.788486,0.02,0.5795927
6.798498,0.02,0.57774436
6.808511,0.02,0.5759752
6.8185234,0.02,0.5742867
6.828536,0.02,0.57267857
6.838548,0.02,0.5711486
6.848561,0.02,0.5696981
6.8585734,0.02,0.56832623
6.868586,0.02,0.5670317
6.878598,0.02,0.565814
6.888611,0.02,0.5646732
6.8986235,0.02,0.5636096
6.908636,0.02,0.5626207
6.9186482,0.02,0.5617076
6.928661,0.02,0.560869
6.9386735,0.02,0.5601049
6.948686,0.02,0.55941415
6.9586983,0.02,0.5587964
6.968711,0.02,0.5582529
6.9787235,0.02,0.55777955
6.988736,0.02,0.5573791
6.9987483,0.02,0.55705196
7.008761,0.02,0.5567941
7.0187736,0.02,0.55660594
7.028786,0.02,0.55648863
7.0387983,0.02,0.55644083
7.048811,0.02,0.5564616
7.0588236,0.02,0.5565519
7.068836,0.02,0.5567093
7.0788484,0.02,0.5569361
7.088861,0.02,0.55722785
7.0988736,0.02,0.5575881
7.1088862,0.02,0.5580144
7.1188984,0.02,0.5585065
7.128911,0.02,0.5590644
7.1389236,0.02,0.55968606
7.1489363,0.02,0.5603725
7.1589484,0.02,0.5611253
7.168961,0.02,0.56193835
7.1789737,0.02,0.56281805
7.1889863,0.02,0.5637593
7.1989985,0.02,0.56476235
7.209011,0.02,0.56582856
7.2190237,0.02,0.566955
7.2290363,0.02,0.5681438
7.2390485,0.02,0.56939286
7.249061,0.02,0.570702
7.2590737,0.02,0.5720716
7.2690864,0.02,0.57349956
7.2790985,0.02,0.574988
7.289111,0.02,0.5765352
7.299124,0.02,0.5781402
7.3091364,0.02,0.5798032
7.3191485,0.02,0.58152187
7.329161,0.02,0.5832997
7.339174,0.02,0.5851322
7.3491864,0.02,0.58702195
7.3591986,0.02,0.5889677
7.3692117,0.02,0.5909683
7.3792243,0.02,0.5930245
7.389237,0.02,0.5951345
7.399249,0.02,0.5972973
7.4092617,0.02,0.5995157
7.4192743,0.02,0.60178566
7.429287,0.02,0.6041089
7.439299,0.02,0.60648465
7.4493117,0.02,0.6089122
7.4593244,0.02,0.6113913
7.469337,0.02,0.6139206
7.479349,0.02,0.6165011
7.489362,0.02,0.6191328
7.4993744,0.02,0.6218127
7.509387,0.02,0.62454325
7.519399,0.02,0.6273202
7.529412,0.02,0.63014877
7.5394244,0.02,0.63302314
7.549437,0.02,0.6359452
7.559449,0.02,0.6389161
7.569462,0.02,0.6419311
7.5794744,0.02,0.6449943
7.589487,0.02,0.64810145
7.599499,0.02,0.6512555
7.609512,0.02,0.65445244
7.6195245,0.02,0.6576958
7.629537,0.02,0.66098326
7.6395493,0.02,0.6643112
7.649562,0.02,0.6676855
7.6595745,0.02,0.6711011
7.669587,0.02,0.67455804
7.6795993,0.02,0.6780585
7.689612,0.02,0.6815979
7.6996245,0.02,0.68517935
7.709637,0.02,0.68880105
7.7196493,0.02,0.6924608
7.729662,0.02,0.69616115
7.7396746,0.02,0.6999006
7.749687,0.02,0.70367765
7.7596993,0.02,0.7074928
7.769712,0.02,0.71134526
7.7797246,0.02,0.7152344
7.789737,0.02,0.71915984
7.7997494,0.02,0.7231211
7.809762,0.02,0.72711885
7.8197746,0.02,0.7311512
7.8297873,0.02,0.73521644
7.8397994,0.02,0.7393166
7.8498125,0.02,0.74345136
7.859825,0.02,0.74761784
7.8698378,0.02,0.7518156
7.87985,0.02,0.75604796
7.8898625,0.02,0.76031005
7.899875,0.02,0.7646035
7.909888,0.02,0.7689273
7.9199,0.02,0.77328086
7.9299126,0.02,0.7776654
7.939925,0.02,0.7820773
7.949938,0.02,0.78651786
7.95995,0.02,0.7909868
7.9699626,0.02,0.7954827
7.979975,0.02,0.80000687
7.989988,0.02,0.8045559
8.0,0.02,0.8091321
0.0,0.04,0.7045972
0.010012516,0.04,0.7282366
0.020025032,0.04,0.75151247
0.030037548,0.04,0.77441686
0.040050063,0.04,0.796946
0.05006258,0.04,0.8190941
0.060075097,0.04,0.8408603
0.07008761,0.04,0.86223906
0.08010013,0.04,0.8832304
0.09011264,0.04,0.90383095
0.10012516,0.04,0.9240405
0.11013767,0.04,0.9438583
0.12015019,0.04,0.9632825
0.1301627,0.04,0.982315
0.14017522,0.04,1.0009546
0.15018773,0.04,1.019203
0.16020025,0.04,1.0370588
0.17021278,0.04,1.0545249
0.18022528,0.04,1.0716026
0.1902378,0.04,1.0882924
0.20025031,0.04,1.1045961
0.21026284,0.04,1.1205156
0.22027534,0.04,1.1360526
0.23028786,0.04,1.1512077
0.24030039,0.04,1.1659856
0.2503129,0.04,1.1803849
0.26032543,0.04,1.1944096
0.27033794,0.04,1.2080629
0.28035045,0.04,1.2213445
0.29036295,0.04,1.2342584
0.3003755,0.04,1.2468064
0.310388,0.04,1.2589898
0.3204005,0.04,1.2708108
0.330413,0.04,1.2822728
0.34042555,0.04,1.2933768
0.35043806,0.04,1.3041241
0.36045057,0.04,1.3145185
0.37046307,0.04,1.3245583
0.3804756,0.04,1.3342478
0.39048812,0.04,1.3435869
0.40050063,0.04,1.3525789
0.41051313,0.04,1.3612227
0.42052567,0.04,1.3695183
0.43053818,0.04,1.3774674
0.44055068,0.04,1.3850713
0.4505632,0.04,1.392329
0.46057573,0.04,1.3992386
0.47058824,0.04,1.4058027
0.48060077,0.04,1.4120183
0.49061328,0.04,1.4178829
0.5006258,0.04,1.4233994
0.5106383,0.04,1.4285612
0.52065086,0.04,1.433368
0.5306634,0.04,1.4378183
0.5406759,0.04,1.4419081
0.5506884,0.04,1.4456348
0.5607009,0.04,1.4489949
0.5707134,0.04,1.4519858
0.5807259,0.04,1.4546032
0.5907384,0.04,1.4568441
0.600751,0.04,1.4587054
0.6107635,0.04,1.4601808
0.620776,0.04,1.4612701
0.6307885,0.04,1.4619682
0.640801,0.04,1.4622748
0.6508135,0.04,1.4621856
0.660826,0.04,1.4617004
0.67083853,0.04,1.4608192
0.6808511,0.04,1.4595404
0.6908636,0.04,1.4578683
0.7008761,0.04,1.4558043
0.7108886,0.04,1.4533517
0.72090113,0.04,1.4505212
0.73091364,0.04,1.4473157
0.74092615,0.04,1.4437485
0.75093865,0.04,1.4398282
0.7609512,0.04,1.4355719
0.7709637,0.04,1.4309945
0.78097624,0.04,1.426115
0.79098874,0.04,1.420955
0.80100125,0.04,1.415534
0.81101376,0.04,1.4098811
0.82102627,0.04,1.4040222
0.8310388,0.04,1.3979831
0.84105134,0.04,1.3918006
0.85106385,0.04,1.3855023
0.86107635,0.04,1.3791244
0.87108886,0.04,1.3727005
0.88110137,0.04,1.3662653
0.8911139,0.04,1.3598549
0.9011264,0.04,1.353504
0.9111389,0.04,1.3472509
0.92115146,0.04,1.3411276
0.93116397,0.04,1.3351698
0.9411765,0.04,1.3294091
